Nombre,Categoría,Combate,Crítico,Daño,Distancia,Munición,Precio,"Propiedades ",Recarga,Versátil,Volumen,Árbol relacionado
Pica,Marcial,Cuerpo a cuerpo,,1d10 perforante,,,5 po,"Perfora armadura (Armas/Propiedades%20de%20armas/Perfora%20armadura%2025082858a77580e1bfd6caad7084c8a0.md), Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",,,3,"Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Estoque,Marcial,Cuerpo a cuerpo,19,1d8 perforante,,,25 po,"Crítico (Armas/Propiedades%20de%20armas/Cr%C3%ADtico%2025182858a77580f58f15cc0dd680d246.md), Defensiva (Armas/Propiedades%20de%20armas/Defensiva%2025082858a77580b49c4ddfdd67b699ae.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)",,,2,"Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21), Escudo y La Lanza (https://app.notion.com/p/Escudo-y-La-Lanza-33b82858a77580e2a5b3dbbf3bad4d4e?pvs=21)"
Cimitarra,Marcial,Cuerpo a cuerpo,,1d6 cortante,,,25 po,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)",,,2,Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21)
Espada corta,Marcial,Cuerpo a cuerpo,,1d6 perforante,,,10 po,"Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md)",,,1,"Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21)"
Urumi,Marcial,Cuerpo a cuerpo,,3d4 cortante,,,15 po,"Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Torpe (Armas/Propiedades%20de%20armas/Torpe%2025082858a77580dcb6c9f49c03f63be0.md), Imprudente (Armas/Propiedades%20de%20armas/Imprudente%2025182858a77580e98582c4326b37bb57.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Desgarradora (Armas/Propiedades%20de%20armas/Desgarradora%2025082858a775805180ebc66dcabf79cb.md)",,,1,"Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Pico de guerra,Marcial,Cuerpo a cuerpo,,1d8 perforante,,,5 po,"Perfora armadura (Armas/Propiedades%20de%20armas/Perfora%20armadura%2025082858a77580e1bfd6caad7084c8a0.md), Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md)",,,1,Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21)
Martillo de guerra,Marcial,Cuerpo a cuerpo,,1d8 contundente,,,15 po,"Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md), Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md)",,1d10,2,"Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21), Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21)"
Látigo,Marcial,Cuerpo a cuerpo,,1d4 cortante,,,2 po,"Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md)",,,2,Agarre (https://app.notion.com/p/Agarre-33b82858a77580589f8bfb255cd6e91d?pvs=21)
Yo-Yo,Marcial,Cuerpo a cuerpo,,1d6 contundente,,,15 po,"Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md)",,,1,Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21)
Boleadoras,Marcial,Distancia,,1d4 contundente,4/8,,1 po,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md)",,,1,"Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21)"
Bumerang,Marcial,Cuerpo a cuerpo,,1d6 contundente,6/16,,3 po,"Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Retorno (Armas/Propiedades%20de%20armas/Retorno%2025182858a7758077b625f0e016c76fca.md)",,,1,Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21)
Chakram,Marcial,Distancia,,1d8 cortante,6/14,,1 po,"Retorno (Armas/Propiedades%20de%20armas/Retorno%2025182858a7758077b625f0e016c76fca.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)",,,1,Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21)
Arco compuesto,Marcial,Distancia,,1d10 perforante,40/160,"Flecha (https://app.notion.com/p/Flecha-de1a8552575c4d8cbb7dbf173b0cb734?pvs=21) ",120 po,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",,,2,"Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21)"
Ballesta de repetición,Marcial,Distancia,,1d8 perforante,,"Virotes (https://app.notion.com/p/Virotes-5bcfd52ed0454001a94acf489f52ac95?pvs=21) ",250 po,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Recarga (Armas/Propiedades%20de%20armas/Recarga%2025182858a77580d79818e3fdaded0629.md)",6,,3,"Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21)"
Ballesta pesada,Marcial,Distancia,,1d10 perforante,20/80,"Virotes (https://app.notion.com/p/Virotes-5bcfd52ed0454001a94acf489f52ac95?pvs=21) ",50 po,"Carga (Armas/Propiedades%20de%20armas/Carga%2025082858a77580249542d35dc7f9115e.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Perfora armadura (Armas/Propiedades%20de%20armas/Perfora%20armadura%2025082858a77580e1bfd6caad7084c8a0.md), Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",,,3,Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21)
Arco largo,Marcial,Distancia,,1d8 perforante,30/120,"Flecha (https://app.notion.com/p/Flecha-de1a8552575c4d8cbb7dbf173b0cb734?pvs=21) ",50 po,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md)",,,2,"Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21)"
Estrella arrojadiza,Marcial,Distancia,,1d6 perforante,8/20,,1 po,"Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Sutil (Armas/Propiedades%20de%20armas/Sutil%2025082858a77580fc9987c0237bc07b97.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)",,,"0,2","Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21), Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21)"
Trabuco,Marcial,Cuerpo a cuerpo,,2d6 perforante,4/12,"Perdigones  (https://app.notion.com/p/Perdigones-25182858a77580f781d1df8976fd37f2?pvs=21) ",60 po,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Carga (Armas/Propiedades%20de%20armas/Carga%2025082858a77580249542d35dc7f9115e.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Imprudente (Armas/Propiedades%20de%20armas/Imprudente%2025182858a77580e98582c4326b37bb57.md)",,,2,Pólvora (https://app.notion.com/p/P-lvora-33b82858a775802b872fc1eff26ac868?pvs=21)
Pistola,Marcial,Distancia,,1d10 perforante,,"Bala de pólvora (https://app.notion.com/p/Bala-de-p-lvora-15882858a7758050967ce3c49ba0869b?pvs=21) ",25 po,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Carga (Armas/Propiedades%20de%20armas/Carga%2025082858a77580249542d35dc7f9115e.md)",,,1,Pólvora (https://app.notion.com/p/P-lvora-33b82858a775802b872fc1eff26ac868?pvs=21)
Mosquete,Marcial,Distancia,,1d12 perforante,16/64,"Bala de pólvora (https://app.notion.com/p/Bala-de-p-lvora-15882858a7758050967ce3c49ba0869b?pvs=21) ",50 po,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Carga (Armas/Propiedades%20de%20armas/Carga%2025082858a77580249542d35dc7f9115e.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",,,2,Pólvora (https://app.notion.com/p/P-lvora-33b82858a775802b872fc1eff26ac868?pvs=21)
Cuchara gigante,Simple,Cuerpo a cuerpo,,1d6 contundente,,,5 po,"Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md), Robusta (Armas/Propiedades%20de%20armas/Robusta%2025082858a77580a6b9d2fa24668e9a82.md)",,1d8,2,"Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21), Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)"
Tijeras gigantes,Marcial,Cuerpo a cuerpo,,2d6 cortante,,,40 po,"Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Desgarradora (Armas/Propiedades%20de%20armas/Desgarradora%2025082858a775805180ebc66dcabf79cb.md), Imprudente (Armas/Propiedades%20de%20armas/Imprudente%2025182858a77580e98582c4326b37bb57.md)",,,3,"Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
