Nombre,Categoría,Combate,"Propiedades ",Árbol relacionado
Martillo de guerra,Marcial,Cuerpo a cuerpo,"Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md), Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md)","Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21), Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21)"
Martillo ligero,Simple,Cuerpo a cuerpo,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md)",Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21)
Martillo meteoro,Marcial,Cuerpo a cuerpo,"Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Imprudente (Armas/Propiedades%20de%20armas/Imprudente%2025182858a77580e98582c4326b37bb57.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Torpe (Armas/Propiedades%20de%20armas/Torpe%2025082858a77580dcb6c9f49c03f63be0.md)","Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Mayal,Marcial,Cuerpo a cuerpo,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md)","Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21)"
Maza,Simple,Cuerpo a cuerpo,Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md),"Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21)"
Mosquete,Marcial,Distancia,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Carga (Armas/Propiedades%20de%20armas/Carga%2025082858a77580249542d35dc7f9115e.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",Pólvora (https://app.notion.com/p/P-lvora-33b82858a775802b872fc1eff26ac868?pvs=21)
Nudilleras,Simple,Cuerpo a cuerpo,"Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Segura (Armas/Propiedades%20de%20armas/Segura%2025082858a775806e822ef8d376199ea1.md), Oculta (Armas/Propiedades%20de%20armas/Oculta%2025082858a775804bba22d47c24ad58ea.md)",Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21)
Nunchakus,Marcial,Cuerpo a cuerpo,"Robusta (Armas/Propiedades%20de%20armas/Robusta%2025082858a77580a6b9d2fa24668e9a82.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)",Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21)
Pica,Marcial,Cuerpo a cuerpo,"Perfora armadura (Armas/Propiedades%20de%20armas/Perfora%20armadura%2025082858a77580e1bfd6caad7084c8a0.md), Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)","Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Pico de guerra,Marcial,Cuerpo a cuerpo,"Perfora armadura (Armas/Propiedades%20de%20armas/Perfora%20armadura%2025082858a77580e1bfd6caad7084c8a0.md), Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md)",Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21)
Pistola,Marcial,Distancia,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Carga (Armas/Propiedades%20de%20armas/Carga%2025082858a77580249542d35dc7f9115e.md)",Pólvora (https://app.notion.com/p/P-lvora-33b82858a775802b872fc1eff26ac868?pvs=21)
Porra,Marcial,Cuerpo a cuerpo,"Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Defensiva (Armas/Propiedades%20de%20armas/Defensiva%2025082858a77580b49c4ddfdd67b699ae.md), Robusta (Armas/Propiedades%20de%20armas/Robusta%2025082858a77580a6b9d2fa24668e9a82.md)","Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21), Escudo y La Lanza (https://app.notion.com/p/Escudo-y-La-Lanza-33b82858a77580e2a5b3dbbf3bad4d4e?pvs=21)"
Red,Simple,Distancia,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Especial (Armas/Propiedades%20de%20armas/Especial%2025082858a77580bc924ee31dcf91d586.md)","Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21), Pesca (https://app.notion.com/p/Pesca-33b82858a77580ad9467c92b7a88c6b7?pvs=21)"
Tijeras gigantes,Marcial,Cuerpo a cuerpo,"Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Desgarradora (Armas/Propiedades%20de%20armas/Desgarradora%2025082858a775805180ebc66dcabf79cb.md), Imprudente (Armas/Propiedades%20de%20armas/Imprudente%2025182858a77580e98582c4326b37bb57.md)","Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Trabuco,Marcial,Cuerpo a cuerpo,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Carga (Armas/Propiedades%20de%20armas/Carga%2025082858a77580249542d35dc7f9115e.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Imprudente (Armas/Propiedades%20de%20armas/Imprudente%2025182858a77580e98582c4326b37bb57.md)",Pólvora (https://app.notion.com/p/P-lvora-33b82858a775802b872fc1eff26ac868?pvs=21)
Tridente,Simple,Cuerpo a cuerpo,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Defensiva (Armas/Propiedades%20de%20armas/Defensiva%2025082858a77580b49c4ddfdd67b699ae.md), Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md)","Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21), Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21), Escudo y La Lanza (https://app.notion.com/p/Escudo-y-La-Lanza-33b82858a77580e2a5b3dbbf3bad4d4e?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21), Pesca (https://app.notion.com/p/Pesca-33b82858a77580ad9467c92b7a88c6b7?pvs=21)"
Urumi,Marcial,Cuerpo a cuerpo,"Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Torpe (Armas/Propiedades%20de%20armas/Torpe%2025082858a77580dcb6c9f49c03f63be0.md), Imprudente (Armas/Propiedades%20de%20armas/Imprudente%2025182858a77580e98582c4326b37bb57.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Desgarradora (Armas/Propiedades%20de%20armas/Desgarradora%2025082858a775805180ebc66dcabf79cb.md)","Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Yo-Yo,Marcial,Cuerpo a cuerpo,"Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md)",Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21)
